NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
"HBW PEN 2000 (BLACK, BLUE, RED)",OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"HBW PERMANENT MARKER (BLACK, BLUE, RED)",OS,PC,, ₱ 10.00 , ₱ 13.50 ,35.00%,,,
HBW SCISSORS 6.5 INCHES,OS,PC,, ₱ 35.00 , ₱ 47.25 ,35.00%,,,
HBW STAMP PAD INK 30 ML BLUE,OS,BOTTLE,, ₱ -   , ₱ -   ,#DIV/0!,,,
"HBW STAMP PAD INK 60ML (BLACK, BLUE, RED, GREEN)",OS, BOTTLE ,, ₱ 17.00 , ₱ 22.95 ,35.00%,,,
HBW STICKY NOTES 3X2,OS,PAD,, ₱ -   , ₱ -   ,#DIV/0!,,,
HBW STICKY NOTES 3X3,OS,PAD,, ₱ 18.00 , ₱ 24.30 ,35.00%,,,
HBW STICKY NOTES 3X5,OS,PAD,, ₱ -   , ₱ -   ,#DIV/0!,,,
"HBW WHITEBOARD  MARKER (BLACK, BLUE, RED)",OS,PC,PAMCO, ₱ 20.00 , ₱ 27.00 ,35.00%,,,
HEADLIGHT,PPE,PC,, ₱ 235.35 , ₱ 355.85 ,51.20%,,,
HEAVY DUTY PUNCHER KING,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
HEXAGONAL NUT 1/4 SS,MA,PC,, ₱ 3.50 , ₱ 4.50 ,28.57%,,,
HEXAGONAL NUT M8 SS,MA,PC,, ₱ 3.95 , ₱ 5.50 ,39.24%,,,
HONGLI 3000MAH 3.7V 18650 BATTERY - RECHARGABLE FLAT HEAD,OS,PC,SHOPEE, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
ID CARD HOLDER,OS,PC,FORMOSA, ₱ 8.00 , ₱ 10.80 ,35.00%,,,
ID CLIP METAL,OS,PC,, ₱ 2.00 , ₱ 2.70 ,35.00%,,,
"JACK WRAP BLUE 23U X 500MM X 5KG 3"" CORE",CO,ROLL,RSIM, ₱ 665.00 , ₱ 897.75 ,35.00%,,,
"JACK WRAP CLEAR 23U X 500MM X 5KG 3"" CORE",CO,ROLL,RSIM, ₱ 465.00 , ₱ 627.75 ,35.00%,,,
JOY BINDER CLIP  1 5/8,OS,BOX,PAMCO, ₱ 36.00 , ₱ 48.60 ,35.00%,,,
"JOY BINDER CLIP 1 1/4""",OS,BOX,PAMCO, ₱ 26.00 , ₱ 29.70 ,14.23%,,,
"JOY BINDER CLIP 1""",OS,BOX,PAMCO, ₱ 16.00 , ₱ 21.60 ,35.00%,,,
"JOY BINDER CLIP 2""",OS,BOX,PAMCO, ₱ 55.00 , ₱ 74.25 ,35.00%,,,
"JOY BINDER CLIP 3/4""",OS,BOX,PAMCO, ₱ 11.00 , ₱ 14.85 ,35.00%,,,
JOY CORRECTION TAPE 8M,OS,PC,, ₱ 25.00 , ₱ 33.75 ,35.00%,,,
JOY DISHWASHING LIQUID,CM,PC,, ₱ 109.00 , ₱ 147.15 ,35.00%,,,
JOY DISHWASHING LIQUID KALAMANSI 475ML,CM,PC,, ₱ 120.00 , ₱ 161.25 ,34.38%,,,
JOY MATTE STICKER PAPER 100 PIECES,OS,PC,, ₱ 330.00 , ₱ 445.50 ,35.00%,,,
